date,ICLN,PBW,QCLN
2009-01-08,0.032042,0.020202,0.027096
2009-01-09,-0.005009,-0.008801,-0.016496
2009-01-12,-0.07116,-0.057714,-0.06705
2009-01-13,-0.023926,-0.010601,-0.003235
2009-01-14,-0.054527,-0.060714,-0.05174
2009-01-15,0.022751,0.027883,0.031369
2009-01-16,0.035696,0.011097,0.028857
2009-01-20,-0.076424,-0.071951,-0.073286
2009-01-21,0.028664,0.028909,0.038183
2009-01-22,-0.026178,-0.030651,-0.040689
2009-01-23,-0.001193,-0.01054,0.015238
2009-01-26,0.012,0.027963,0.013375
2009-01-27,0.020724,0.027202,0.028312
2009-01-28,0.028885,0.032787,0.042193
2009-01-29,-0.0296,-0.035409,-0.038733
2009-01-30,0.062107,-0.005063,-0.000769
2009-02-02,-0.09357,-0.006361,-0.023828
2009-02-03,0.007687,0.012804,0.011501
2009-02-04,0.040519,0.010114,0.025664
2009-02-05,0.000519,0.01627,0.028777
2009-02-06,0.008422,0.032032,0.0274
2009-02-09,0.052372,0.004761,-0.001712
2009-02-10,-0.05379,-0.038005,-0.039451
2009-02-11,-0.010858,-0.01605,-0.021107
2009-02-12,-0.021103,-0.003764,0.019738
2009-02-13,0.022897,0.026448,0.009839
2009-02-17,-0.049831,-0.078528,-0.062002
2009-02-18,-0.036244,-0.014647,-0.023607
2009-02-19,-0.021652,-0.028378,-0.0294
2009-02-20,-0.047059,-0.025035,-0.032085
2009-02-23,-0.048222,-0.067047,-0.048796
2009-02-24,0.062095,0.08104,0.061688
2009-02-25,-0.045345,-0.026874,-0.029562
2009-02-26,-0.008873,-0.015988,-0.008414
2009-02-27,-0.026831,-0.035451,-0.028591
2009-03-02,-0.073539,-0.078101,-0.075256
2009-03-03,0.0,0.01495,0.004729
2009-03-04,0.055273,0.02946,0.053991
2009-03-05,-0.086253,-0.046105,-0.046771
2009-03-06,-0.001588,-0.01,-0.007009
2009-03-09,-0.019067,-0.011785,-0.028235
2009-03-10,0.078432,0.080068,0.098305
2009-03-11,0.016576,0.018927,0.016094
2009-03-12,0.023391,0.05418,0.036017
2009-03-13,0.022074,0.014684,0.019759
2009-03-16,0.001309,-0.020261,-0.030415
2009-03-17,-0.038562,0.008863,0.000794
2009-03-18,0.021081,0.029283,0.040212
2009-03-19,0.06191,0.00569,0.015259
2009-03-20,-0.03511,-0.033946,-0.044088
2009-03-23,0.074724,0.071742,0.089099
2009-03-24,-0.01633,-0.015027,-0.021559
2009-03-25,0.007074,0.026352,0.003344
2009-03-26,0.14495,0.109459,0.106863
2009-03-27,-0.01919,-0.01218,-0.011515
2009-03-30,-0.063859,-0.064118,-0.060036
2009-03-31,0.015965,0.001317,0.012383
2009-04-01,0.022057,0.043421,0.027317
2009-04-02,0.047244,0.032787,0.046599
2009-04-03,0.002611,0.026801,0.006271
2009-04-06,-0.006384,-0.013021,-0.007833
2009-04-07,-0.039443,-0.056627,-0.047368
2009-04-08,0.025441,0.030651,0.025783
2009-04-09,0.055452,0.05948,0.056562
2009-04-13,0.027362,0.011696,-0.005106
2009-04-14,-0.003412,-0.013873,-0.005201
2009-04-15,0.004431,-0.005862,-0.000781
2009-04-16,0.010526,0.037736,0.024055
2009-04-17,-0.016359,0.004545,0.007559
2009-04-20,-0.087251,-0.075792,-0.063288
2009-04-21,0.033149,0.015912,0.020444
2009-04-22,0.00984,0.024096,0.029617
2009-04-23,0.024677,0.003529,-0.011844
2009-04-24,0.008269,0.001172,0.021404
2009-04-27,-0.035367,-0.004684,-0.013412
2009-04-28,-0.000531,-0.004706,-0.011045
2009-04-29,0.06185,0.033097,0.04811
2009-04-30,0.053807,0.02746,0.036885
