,De-risk Med (%),De-risk High (%),Avg Return Improve,Avg VaR Reduction,Avg CVaR Reduction,Avg MDD Reduction,Avg Sharpe Improve,Avg Vol Reduction,Years Used,run_id
423,50,50,-142.01364768057607,25.943403984790855,21.293167046194753,21.183587939906314,-261.4059845509799,29.282184932018925,7,423
424,50,50,-86.1091811575357,33.15745277974634,22.467378688535945,26.218484995463292,-173.88412538318676,31.32490697246434,7,424
425,50,50,-73.9018700195571,29.546476884356082,27.512519315666925,26.25964218756561,-155.7018033866723,34.37271147088792,7,425
426,50,50,85.8707333281496,33.83233036871405,30.221398550669228,38.67111570109701,155.86071151304418,31.293622372114392,7,426
427,50,50,115.07027970435887,31.154070219224277,28.356506963982238,18.997100484785044,209.26348495477325,30.801717016701723,7,427
428,50,50,224.8813378919177,28.01317053767854,18.82463229501033,30.56977431878828,391.2189568174121,26.468830016737115,7,428
429,50,50,37.87318972163028,34.70580660500128,23.200377191969284,28.655580084518856,51.68891634062722,30.45581247632249,7,429
430,50,50,-5.524874561935661,27.75688172854109,16.699019520218524,25.607808835918,-29.47385033975397,25.441479743801803,7,430
431,50,50,2.8064737090040888,37.013721583573336,25.65346464920497,24.856310583690433,-13.024359356853429,28.086148877893294,7,431
432,50,50,119.70953620886998,38.65909002037342,32.56755253321415,39.07079205442591,179.1208245012464,30.36780001741343,7,432
433,50,50,-7.425628448265726,31.211004073963956,27.105165324994214,30.11748875947371,-39.013504885436895,32.15874684707721,7,433
434,50,50,19.997021274345393,35.092623445699296,26.233044470483662,30.05843981796732,23.6043858075613,31.174261818463663,7,434
435,50,50,-41.638176622584766,31.022188691682725,16.80816027724298,15.559163185685394,-72.9885080027281,26.049433733875965,7,435
436,50,50,49.822051572376225,37.21301308566349,22.57621642358731,28.151108700722013,83.02720972449083,29.327879935243384,7,436
437,50,50,1.7842220426679896,40.135626279760665,29.44349489909782,35.25935631930029,-7.665820702482813,30.120229175877846,7,437
438,50,50,-8.743838501090954,30.109437027185106,20.370087620454623,22.18319064382354,-47.16307200668796,26.7361554769382,7,438
439,50,50,27.77959458992428,30.018561949265322,19.694803262195173,27.168775866485674,16.478419035383315,26.36714145673457,7,439
440,50,50,-10.252422572761862,38.16966356951965,32.968746597338566,34.74120154659588,-35.962759074340546,32.433625329997945,7,440
441,50,50,2.3800294030842406,32.07009361538595,27.590115849999204,32.74256707870994,-28.353540749526108,31.828523138843053,7,441
