,De-risk Med (%),De-risk High (%),Avg Return Improve,Avg VaR Reduction,Avg CVaR Reduction,Avg MDD Reduction,Avg Sharpe Improve,Avg Vol Reduction,Years Used,run_id
759,50,50,35.2451566313839,28.153992089469458,25.68817529118035,30.554201344385927,114.09939620027531,26.209762825856558,7,759
760,50,50,-49.63106508265212,28.278921867209363,20.958760589698482,23.789016891377837,-145.78336481406444,27.50540873275105,7,760
761,50,50,22.793472406664726,45.57396338774728,32.3665405596779,38.01043662706991,-74.84964483190265,32.43997727337298,7,761
762,50,50,106.90092800960703,39.36774110456543,27.694637606979366,38.162788043832755,259.6744848081587,28.859459916405864,7,762
763,50,50,74.28380624665276,41.765470041545754,32.87498839230849,32.732643141237666,179.88490620430005,32.61498145607301,7,763
764,50,50,-31.778422520293272,32.279359537658486,22.819164437049928,23.142663589445117,-160.35947115320042,27.602953415046816,7,764
765,50,50,29.106235646416962,38.866628712611025,25.966207312183563,27.098561201807406,68.49996625176898,27.079005404858492,7,765
766,50,50,-14.724824720261642,37.70507207432695,25.82215936545674,15.578812631690822,-78.34838118906521,31.214165804110642,7,766
767,50,50,-10.717218202618737,42.67574713940429,30.851344455306553,34.986363836418484,-91.01448800422652,32.84698393578202,7,767
768,50,50,31.665130425125977,36.56890058579911,24.92129604058539,34.21166481170928,46.46658469692487,30.600519821016718,7,768
769,50,50,-67.71226736912594,29.422193190428555,21.21674327503368,18.268548580828178,-248.9203747511938,28.644800242612924,7,769
770,50,50,62.12998802865827,37.49211841747181,31.343279016202104,29.203886096973168,154.60371371373523,30.206636036061422,7,770
771,50,50,-5.218747443229511,33.51305215010864,25.524817751438206,21.26717246344163,-13.842126043635387,32.226659915695905,7,771
772,50,50,8.270451031387775,39.298085831949265,24.532739351804434,29.83676791516621,7.840002166147677,30.854421098829828,7,772
773,50,50,10.714617817252291,39.2513609914332,30.949688440545057,30.896213171698783,-39.10925179087428,29.98470461764716,7,773
774,50,50,56.63225422947888,42.346481210814105,29.035344025316512,29.882782475891165,103.2360979726808,27.13848136724508,7,774
775,50,50,11.813226897253072,39.89443635428366,32.48951013307399,29.70573153149368,20.674425112936255,31.92986215559693,7,775
776,50,50,-3.5734032283498,35.21394662235085,28.703092369446097,32.544402901735246,-137.68095457794237,30.602944288493454,7,776
777,50,50,46.607051771129385,41.74927796591525,26.64659416096509,34.38114266851047,20.577268831545922,26.980682192683844,7,777
778,50,50,92.24487243711916,47.299504542742135,26.34056749626452,31.92324359358091,189.05170657067092,28.446328140447786,7,778
779,50,50,70.60354441340726,41.1863355598828,29.09214302380538,34.38023604432861,105.88853194968428,29.299542635565434,7,779
780,50,50,-11.836609405601681,32.751237146985105,25.22397286090087,21.256438062636413,-32.184983017219224,31.027859964595688,7,780
781,50,50,64.89900536875373,36.842342877474785,34.36894431438843,32.66026182598584,155.25450637810675,33.32208760646313,7,781
782,50,50,37.10973660880535,36.98880919715409,26.616238299313732,31.29648712607545,28.50340918241808,29.35758771870982,7,782
783,50,50,83.3185947959013,31.300849019661204,28.45416184718908,34.45632449470785,202.0760776905808,27.076657398652834,7,783
