,De-risk Med (%),De-risk High (%),Avg Return Improve,Avg VaR Reduction,Avg CVaR Reduction,Avg MDD Reduction,Avg Sharpe Improve,Avg Vol Reduction,Years Used,run_id
219,50,50,-54.849153630710546,35.490073495831005,28.34152863872378,25.942886633009625,-777.7677458267493,30.979132431182247,7,219
220,50,50,-66.24938464810643,35.909624600935906,26.381506601201558,25.510163745844448,-338.387766731187,30.2495139071457,7,220
221,50,50,1.8938785386901134,28.653818572774185,26.186187142313145,21.575790084194846,514.902179715209,30.248321216737327,7,221
222,50,50,134.6515538544047,35.175975503942894,30.083030583628094,24.994529405278197,1444.8297436962491,28.78523253901091,7,222
223,50,50,18.584344445144612,32.181836620026786,21.99550199876082,18.408570122660798,1990.2933448017968,29.44585544956983,7,223
224,50,50,38.22886817460431,28.88405654211371,22.731294237759204,27.96918714174449,768.5276959885549,24.196261066504064,7,224
225,50,50,-40.828332985408615,34.996267323254436,30.664486293632073,26.421010471285104,95.88128076279342,27.683322951374432,7,225
226,50,50,-14.36329368243146,34.455923142697365,24.851758435540336,20.648594764284407,510.32643306478997,30.27985588424744,7,226
227,50,50,95.72455919972255,26.21572045258494,25.42568318091648,22.749588193122797,1680.4385696672675,28.904629071871238,7,227
228,50,50,109.43769157534773,33.159301905118234,31.514572338239525,32.72782106968046,2996.526648954787,30.725834242813782,7,228
229,50,50,50.16454556075957,37.38347166649363,37.08944945143629,30.802355204676104,1465.739641997294,35.54484854161394,7,229
230,50,50,105.53068892343187,33.86648334394252,32.506698230173605,32.752625725469,-1679.4736963782286,29.944041497927092,7,230
231,50,50,-37.02139896951845,34.86542753467049,30.326502308789806,20.880175569268427,110.65209700872258,29.780059117359716,7,231
232,50,50,-9.120438315756473,29.317641422684467,25.46469784691603,20.877256950162366,119.60657368432724,26.256311413961736,7,232
233,50,50,28.17820075284609,27.55755114267018,26.819628535537436,28.236216583170386,-1045.2341280581625,26.218608410253818,7,233
234,50,50,23.159476757646168,31.532378006054305,29.199784098692128,27.70176817340515,48.4116762659188,28.987744638451456,7,234
235,50,50,41.11674434682355,38.94100731270978,34.1771647172021,34.92461404981035,2164.939344328678,32.08724267931917,7,235
236,50,50,77.28001249445529,33.19389951284286,30.153045812005768,27.598043396301502,335.2844599885958,27.512939594038123,7,236
237,50,50,-75.02449768169349,29.33381287862033,20.237263768249267,15.468331643663785,-918.702833068331,27.08573209399189,7,237
238,50,50,121.30705971612659,29.932673338963603,24.14233901795013,15.977975507128217,708.7976600178861,27.772376327134037,7,238
239,50,50,-53.90870669291867,30.88931778420074,29.751412097431835,27.161380197603933,506.8266472464839,33.15888238158031,7,239
240,50,50,-191.49949212072792,35.06696470246699,17.22206377176136,11.697168917286936,-1684.4580404286064,25.423530165879466,7,240
241,50,50,-11.366803163287809,32.63439662814848,27.2682344129821,26.78931320819459,-427.9991954565195,27.89552119133314,7,241
242,50,50,166.06020011526925,34.338802789133425,32.13481902548193,31.854414838576464,917.5545333020892,28.439863589679184,7,242
243,50,50,11.431844326069557,32.76293295197681,26.46798490057596,24.892844290843055,928.7834880039027,32.45687739896273,7,243
244,50,50,-63.693415118847795,36.916772556845316,31.63640513548142,26.56016999276499,488.1836234337329,31.4186604921548,7,244
245,50,50,-29.32663593442991,34.75681151199826,30.170665731599662,30.238950495511244,-2928.1159646896344,26.361212241090332,7,245
246,50,50,51.28663785792141,36.49640016628884,33.219133267951904,31.187643317579557,2250.016962586406,31.409721848084793,7,246
247,50,50,88.58490687392444,29.11209036105441,31.862526132411876,27.198786734873753,923.3651603605724,29.617918262126658,7,247
248,50,50,-98.9185337670569,33.09780190063292,25.082410203382214,24.076179003699245,-1368.9299361635642,29.201633617001885,7,248
249,50,50,24.408944930242303,32.380754444644616,25.940608829433472,30.161143236778457,791.9310985254739,27.544862886947005,7,249
250,50,50,-44.194378647785435,37.1176761956993,33.61280106356676,33.79024709818287,-376.63624507769543,30.611891485153453,7,250
251,50,50,52.533945489981356,33.054067374346225,33.8575183290921,35.717139565378616,-1190.4529030710694,33.02181017810532,7,251
252,50,50,-11.793207951490004,38.515239058313185,21.850065671528352,26.811424542286755,-244.8979789670012,29.306966119576277,7,252
