date,SHY
2007-11-26,0.002791
2007-11-27,-0.003026
2007-11-28,-0.00085
2007-11-29,0.001822
2007-11-30,0.000485
2007-12-03,0.002254
2007-12-04,-0.00012
2007-12-05,0.000364
2007-12-06,-0.002062
2007-12-07,-0.001094
2007-12-10,-0.00073
2007-12-11,0.003654
2007-12-12,-0.002548
2007-12-13,-0.00146
2007-12-14,-0.002437
2007-12-17,0.002931
2007-12-18,-0.000609
2007-12-19,0.002559
2007-12-20,0.000729
2007-12-21,-0.001579
2007-12-24,-0.000851
2007-12-26,-0.000974
2007-12-27,0.002187
2007-12-28,0.00122
2007-12-31,0.001584
2008-01-02,0.001826
2008-01-03,0.001578
2008-01-04,0.001455
2008-01-07,-0.000605
2008-01-08,0.001454
2008-01-09,-0.000484
2008-01-10,0.0
2008-01-11,0.002784
2008-01-14,0.000362
2008-01-15,0.000845
2008-01-16,0.000808
2008-01-17,0.001723
2008-01-18,0.000842
2008-01-22,0.004205
2008-01-23,-0.000479
2008-01-24,-0.003112
2008-01-25,0.002642
2008-01-28,-0.000479
2008-01-29,-0.000599
2008-01-30,0.000719
2008-01-31,0.000958
2008-02-01,0.001092
2008-02-04,0.00012
2008-02-05,0.002277
2008-02-06,0.000359
2008-02-07,-0.001315
2008-02-08,0.001796
2008-02-11,0.000358
2008-02-12,0.000358
2008-02-13,0.000358
2008-02-14,-0.000716
2008-02-15,-0.001075
2008-02-19,-0.000717
2008-02-20,-0.001197
2008-02-21,0.002755
2008-02-22,-0.001075
2008-02-25,-0.001555
2008-02-26,0.001437
2008-02-27,0.001196
2008-02-28,0.00239
2008-02-29,0.003458
2008-03-03,3.4e-05
2008-03-04,-0.000238
2008-03-05,-0.000595
2008-03-06,0.002978
2008-03-07,-0.000475
2008-03-10,0.001069
2008-03-11,-0.004985
2008-03-12,0.00322
2008-03-13,-0.000476
2008-03-14,0.002974
2008-03-17,0.002253
2008-03-18,-0.00355
2008-03-19,0.001069
2008-03-20,-0.001186
2008-03-24,-0.004157
2008-03-25,0.000716
2008-03-26,0.002145
2008-03-27,0.00107
2008-03-28,0.000475
2008-03-31,0.00018
2008-04-01,-0.003553
2008-04-02,-0.000836
2008-04-03,-0.000717
2008-04-04,0.001794
2008-04-07,-0.00191
2008-04-08,0.000598
2008-04-09,0.001912
2008-04-10,-0.000358
2008-04-11,0.001671
2008-04-14,-0.000596
2008-04-15,-0.001311
2008-04-16,-0.002172
2008-04-17,-0.00177
2008-04-18,-0.000599
2008-04-21,-0.000947
2008-04-22,0.000348
2008-04-23,0.0
2008-04-24,-0.002759
2008-04-25,0.00012
2008-04-28,0.001083
2008-04-29,-0.000216
2008-04-30,0.001899
2008-05-01,-0.001781
2008-05-02,-0.001325
2008-05-05,0.001085
2008-05-06,0.000602
2008-05-07,0.001204
