date,ICLN,PBW,QCLN,SPY,XLE
2008-11-04,0.130678,0.041865,0.062269,0.033982,0.064445
2008-11-05,-0.128338,-0.078539,-0.095597,-0.042028,-0.0447
2008-11-06,-0.109378,-0.077304,-0.07392,-0.055411,-0.060217
2008-11-07,0.052167,0.053963,0.010957,0.033018,0.047269
2008-11-10,-0.016129,-0.051201,-0.025838,-0.013105,0.00341
2008-11-11,-0.066697,-0.033298,-0.043993,-0.030876,-0.028789
2008-11-12,-0.153994,-0.118889,-0.091858,-0.044001,-0.081927
2008-11-13,0.133106,0.094578,0.071049,0.06234,0.117489
2008-11-14,-0.045186,-0.062212,-0.048321,-0.049907,-0.041533
2008-11-17,-0.022077,-0.017199,-0.045889,-0.013276,-0.020724
2008-11-18,-0.043548,-0.01375,-0.029619,0.018837,0.028004
2008-11-19,-0.107364,-0.106464,-0.078931,-0.064079,-0.051778
2008-11-20,-0.148363,-0.116312,-0.118834,-0.074233,-0.123684
2008-11-21,0.067731,0.05618,0.059796,0.053943,0.111612
2008-11-24,0.165512,0.133921,0.116447,0.069291,0.072265
2008-11-25,0.056803,0.041387,0.03871,0.007409,0.015956
2008-11-26,0.056449,0.082368,0.083861,0.038641,0.056003
2008-11-28,0.020224,0.009512,-0.004928,0.012589,-0.016047
2008-12-01,-0.128847,-0.135453,-0.095839,-0.088578,-0.106404
2008-12-02,0.131138,0.054496,0.03397,0.038485,0.03383
2008-12-03,-0.037586,0.05168,0.054425,0.024041,0.000646
2008-12-04,-0.024753,-0.063882,-0.0711,-0.023133,-0.069277
2008-12-05,0.026509,0.051575,0.012589,0.030832,0.020805
2008-12-08,0.052742,0.091976,0.095238,0.034914,0.044384
2008-12-09,-0.073586,-0.059429,-0.031191,-0.016484,0.009974
2008-12-10,0.025239,0.032807,0.029268,0.006816,0.051739
2008-12-11,-0.009452,-0.044706,-0.021801,-0.024082,-0.004695
2008-12-12,0.012648,0.044335,0.013566,0.01194,-0.009844
2008-12-15,-0.008217,-0.040094,-0.033461,-0.013934,-0.005799
2008-12-16,0.065842,0.051597,0.078141,0.047066,0.031042
2008-12-17,0.061464,0.030374,0.040367,-0.009687,-0.006466
2008-12-18,-0.024998,-0.019274,-0.039683,-0.018683,-0.058166
2008-12-19,-0.00651,0.006936,0.0,-0.004263,-0.001538
2008-12-22,-0.017964,-0.029851,-0.022314,-0.012813,-0.029783
2008-12-23,0.00854,-0.004734,-0.008002,-0.010338,0.002241
2008-12-24,-0.00458,-0.001189,-0.004904,0.005803,-0.003801
2008-12-26,0.014826,0.016667,0.010466,0.00577,0.013465
2008-12-29,0.003526,-0.022248,-0.015066,-0.002868,0.021922
2008-12-30,0.045181,0.005988,0.037285,0.023703,0.024269
2008-12-31,0.030594,0.026191,0.040553,0.014274,0.010578
2009-01-02,0.055432,0.052146,0.057573,0.030142,0.049822
2009-01-05,0.026134,0.017697,0.013233,-0.001183,0.023529
2009-01-06,-0.015106,0.019502,0.024963,0.006677,0.01091
2009-01-07,-0.059071,-0.053135,-0.047581,-0.029956,-0.042397
2009-01-08,0.032042,0.020202,0.027096,0.004103,0.01288
2009-01-09,-0.005009,-0.008801,-0.016496,-0.021441,-0.033578
2009-01-12,-0.07116,-0.057714,-0.06705,-0.024021,-0.039474
2009-01-13,-0.023926,-0.010601,-0.003235,0.00184,0.025043
2009-01-14,-0.054527,-0.060714,-0.05174,-0.031455,-0.047818
2009-01-15,0.022751,0.027883,0.031369,0.000356,0.0125
2009-01-16,0.035696,0.011097,0.028857,0.00782,0.008014
2009-01-20,-0.076424,-0.071951,-0.073286,-0.052786,-0.053288
2009-01-21,0.028664,0.028909,0.038183,0.043192,0.067181
2009-01-22,-0.026178,-0.030651,-0.040689,-0.015467,-0.027435
2009-01-23,-0.001193,-0.01054,0.015238,0.00435,0.029084
2009-01-26,0.012,0.027963,0.013375,0.006858,0.018487
2009-01-27,0.020724,0.027202,0.028312,0.010158,0.001669
2009-01-28,0.028885,0.032787,0.042193,0.033834,0.027286
2009-01-29,-0.0296,-0.035409,-0.038733,-0.032498,-0.03528
2009-01-30,0.062107,-0.005063,-0.000769,-0.020343,-0.013872
2009-02-02,-0.09357,-0.006361,-0.023828,-0.003018,-0.015985
2009-02-03,0.007687,0.012804,0.011501,0.014047,0.017327
2009-02-04,0.040519,0.010114,0.025664,-0.004896,0.009368
2009-02-05,0.000519,0.01627,0.028777,0.014881,0.024467
2009-02-06,0.008422,0.032032,0.0274,0.028485,0.01853
2009-02-09,0.052372,0.004761,-0.001712,0.001391,0.003639
2009-02-10,-0.05379,-0.038005,-0.039451,-0.045809,-0.046526
2009-02-11,-0.010858,-0.01605,-0.021107,0.005896,-0.011407
2009-02-12,-0.021103,-0.003764,0.019738,0.000718,0.001709
2009-02-13,0.022897,0.026448,0.009839,-0.010758,0.002346
2009-02-17,-0.049831,-0.078528,-0.062002,-0.042774,-0.069164
2009-02-18,-0.036244,-0.014647,-0.023607,-0.002398,-0.005716
2009-02-19,-0.021652,-0.028378,-0.0294,-0.010743,0.00023
2009-02-20,-0.047059,-0.025035,-0.032085,-0.009734,-0.025747
2009-02-23,-0.048222,-0.067047,-0.048796,-0.035779,-0.04672
2009-02-24,0.062095,0.08104,0.061688,0.03791,0.04703
2009-02-25,-0.045345,-0.026874,-0.029562,-0.007847,-0.00591
2009-02-26,-0.008873,-0.015988,-0.008414,-0.016287,0.002378
2009-02-27,-0.026831,-0.035451,-0.028591,-0.022349,-0.024105
2009-03-02,-0.073539,-0.078101,-0.075256,-0.045043,-0.073273
2009-03-03,0.0,0.01495,0.004729,-0.007507,0.004984
