date,XLE,SPY
2011-02-15,-0.01043,-0.003148
2011-02-16,0.013342,0.006315
2011-02-17,0.009875,0.002988
2011-02-18,0.004172,0.002086
2011-02-22,-0.009738,-0.02007
2011-02-23,0.020323,-0.006144
2011-02-24,-0.014135,-0.000687
2011-02-25,0.015902,0.010693
2011-02-28,0.007698,0.006197
2011-03-01,-0.018717,-0.016673
2011-03-02,0.005709,0.002139
2011-03-03,0.017159,0.017224
2011-03-04,-0.006342000000000001,-0.007492000000000001
2011-03-07,-0.007021,-0.007851
2011-03-08,-0.008227,0.00875
2011-03-09,-0.006883,-0.001433
2011-03-10,-0.036401,-0.018525
2011-03-11,0.017337,0.006946
2011-03-14,0.005459,-0.006038
2011-03-15,-0.007548,-0.011457
2011-03-16,-0.016011,-0.018552
2011-03-17,0.030508999999999998,0.013275000000000002
2011-03-18,-0.004672,0.003624
2011-03-21,0.030375,0.015498000000000001
2011-03-22,-0.002188,-0.003469
2011-03-23,0.0025800000000000003,0.002862
2011-03-24,0.0036030000000000003,0.009563
2011-03-25,0.008976,0.0030560000000000006
2011-03-28,-0.002415,-0.002437
2011-03-29,0.012229,0.006719
2011-03-30,0.006922,0.006901000000000001
2011-03-31,-0.0032500000000000003,-0.001356
2011-04-01,0.003009,0.004224
2011-04-04,0.000625,0.000826
2011-04-05,0.0029979999999999994,-0.00015
2011-04-06,-0.010463,0.003152
2011-04-07,0.0,-0.0025439999999999994
2011-04-08,0.003525,-0.00345
2011-04-11,-0.019725,-0.003011
2011-04-12,-0.030935,-0.007474
2011-04-13,0.004093,-7.6e-05
2011-04-14,0.006838,0.000761
2011-04-15,0.008229,0.003648
2011-04-18,-0.014898,-0.011209
2011-04-19,0.010126,0.005744
2011-04-20,0.023565,0.013632
2011-04-21,0.004579,0.005109
2011-04-25,-0.005191,-0.001046
2011-04-26,0.009927,0.008613
2011-04-27,-0.000504,0.006521
2011-04-28,-0.000126,0.003243
2011-04-29,0.014868,0.002351
2011-05-02,-0.013283,-0.001539
2011-05-03,-0.02506,-0.0035970000000000004
2011-05-04,-0.017696,-0.006631000000000001
2011-05-05,-0.020776,-0.009048
2011-05-06,0.004431,0.004416
2011-05-09,0.017513,0.003875
2011-05-10,0.00473,0.008536
2011-05-11,-0.028899999999999995,-0.010525
2011-05-12,-0.001481,0.00476
2011-05-13,-0.004855,-0.007699
2011-05-16,-0.007589,-0.006341
2011-05-17,0.0,-0.00015
2011-05-18,0.02021,0.008936
2011-05-19,0.000134,0.002382
2011-05-20,-0.001205,-0.007945
2011-05-23,-0.015543,-0.011600999999999998
2011-05-24,0.014156,-0.000833
2011-05-25,0.01691,0.0033349999999999994
2011-05-26,0.005015,0.004608
2011-05-27,0.002495,0.003835
2011-05-31,0.010087000000000002,0.010410999999999998
2011-06-01,-0.023862,-0.022461
2011-06-02,-0.000399,-0.001062
2011-06-03,0.000266,-0.009945
2011-06-06,-0.022588,-0.010543
2011-06-07,0.0,-0.000659
2011-06-08,0.002991,-0.004187
2011-06-09,0.013554,0.007631
2011-06-10,-0.01939,-0.01391
2011-06-13,-0.015819,0.000784
2011-06-14,0.021339,0.012686
2011-06-15,-0.022928,-0.017785
2011-06-16,0.001527,0.002204
2011-06-17,-0.0025010000000000006,0.002966
2011-06-20,0.00272,0.005115999999999999
2011-06-21,0.019894,0.013704
2011-06-22,-0.002865,-0.006025
2011-06-23,-0.010944,-0.002868
2011-06-24,-0.018949,-0.011621
2011-06-27,0.005357,0.008911
2011-06-28,0.029168,0.013053000000000002
2011-06-29,0.011718,0.008564
2011-06-30,0.014815,0.009562
2011-07-01,0.009423,0.014776000000000001
2011-07-05,0.0061790000000000005,-0.0008210000000000001
2011-07-06,-0.001829,0.001196
