date,ICLN,PBW,QCLN,IXC,VDE,XLE,Equal_Weighted,Markowitz,Risk_Parity
2008-07-31,-0.02607,-0.026087,-0.051933,-0.137549,-0.144426,-0.159132,-0.09086616666666666,-0.11791151651325513,-0.0962152597083599
2008-08-29,0.024518,0.039391,0.06698,-0.009118,-0.006781,0.00336,0.019725,0.027823354690124986,0.017006049049904947
2008-09-30,-0.272376,-0.249116,-0.242303,-0.132505,-0.151297,-0.149162,-0.19945983333333328,-0.18497685883673262,-0.19408639868730246
2008-10-31,-0.397254,-0.335128,-0.335092,-0.178202,-0.200472,-0.187994,-0.27235699999999996,-0.24455656756064137,-0.2647502260261224
2008-11-28,-0.12824,-0.140688,-0.173135,-0.017748,-0.028173,-0.02179,-0.08496233333333335,-0.07998563683711044,-0.07842072502625015
2008-12-31,0.119299,0.015312,0.083649,-0.026102,-0.053796,-0.045171,0.015531833333333338,0.004363255755767065,0.01169390285935704
2009-01-30,-0.052772,-0.088167,-0.033525,-0.05229,-0.019002,-0.017794,-0.043925,-0.023842931666619868,-0.042570561651664056
2009-02-27,-0.248458,-0.169211,-0.159602,-0.091958,-0.122276,-0.123316,-0.15247016666666666,-0.13726880239367925,-0.14925825802808396
2009-03-31,0.149048,0.163859,0.158113,0.052423,0.038621,0.037823,0.09998116666666666,0.08407727437401971,0.09432847701040849
2009-04-30,0.202749,0.181579,0.19116,0.067547,0.093958,0.078191,0.13586399999999998,0.12163018132644969,0.13030621432817885
2009-05-29,0.124567,0.111359,0.101976,0.163662,0.140516,0.128877,0.1284928333333333,0.11853294617228775,0.13068116570724753
2009-06-30,-0.031601,0.01002,-0.007181,-0.057659,-0.069053,-0.065333,-0.03680116666666666,-0.04297221719679113,-0.03994453502964486
2009-07-31,0.024123,0.043651,0.065759,0.039088,0.055452,0.053486,0.04692649999999999,0.058205251054886886,0.046603643930578524
2009-08-31,-0.094218,-0.062738,-0.031871,0.01348,0.012051,0.010865,-0.02540516666666666,-0.005567975888669935,-0.022178867388060408
2009-09-30,0.099291,0.10142,0.079419,0.054748,0.067835,0.058555,0.07687799999999999,0.06657768834100547,0.0750950373157156
2009-10-30,-0.12129,-0.109576,-0.119625,0.019941,0.017542,0.024666,-0.048057,-0.030817211436542348,-0.041404056007353474
2009-11-30,0.056779,0.033092,0.053051,0.036228,0.029331,0.028416,0.03948283333333333,0.03788872465877443,0.039108215465208644
2009-12-31,0.038759,0.101101,0.124563,0.00186,0.011616,0.008702,0.04776683333333333,0.05325322190745946,0.042663089969771265
2010-01-29,-0.135592,-0.130909,-0.128065,-0.063341,-0.042821,-0.044027,-0.0907925,-0.07634154576310474,-0.08713340477082689
2010-02-26,-0.070686,-0.018829,0.022181,0.012867,0.024311,0.030092,-1.0666666666666047e-05,0.02705003836916726,0.001170370326425827
2010-03-31,0.053691,0.061834,0.089354,0.044313,0.027771,0.028202,0.05086083333333333,0.05171635187064639,0.04921537906431242
2010-04-30,-0.023355,0.01506,0.034712,0.013861,0.044757,0.041551,0.021097666666666664,0.03892124704926493,0.021261737306242867
2010-05-28,-0.17337,-0.133531,-0.12459,-0.118025,-0.119403,-0.114505,-0.13057066666666667,-0.11838291468170245,-0.12987299611107597
2010-06-30,-0.029987,-0.057078,-0.051851,-0.062938,-0.057575,-0.058783,-0.05303533333333333,-0.05611748640817437,-0.053377168596646006
2010-07-30,0.113014,0.108959,0.109179,0.099145,0.080313,0.083736,0.09905766666666665,0.0935194192609376,0.09826112686610018
2010-08-31,-0.044308,-0.065502,-0.094429,-0.050389,-0.044605,-0.049034,-0.05804449999999999,-0.06648942260544205,-0.056752616173498006
2010-09-30,0.112119,0.154206,0.133772,0.109073,0.100426,0.099789,0.11823083333333333,0.11285624587290972,0.1162625690211632
2010-10-29,-0.018019,0.012146,0.01979,0.046072,0.051009,0.056725,0.02795383333333333,0.04252264216473174,0.029696362920090796
2010-11-30,-0.123231,-0.039,0.012132,0.009881,0.06475,0.058575,-0.0028154999999999973,0.04071659726699977,-0.00027171342747089904
2010-12-31,0.075081,0.081166,0.042487,0.101711,0.090051,0.093014,0.08058499999999999,0.07358520524319483,0.08213262887642266
2011-01-31,0.041029,0.00385,0.023752,0.060164,0.070333,0.071795,0.04515383333333334,0.05332136043103309,0.04772980284421267
