date,XLE,SPY
2009-02-06,0.01853,0.028485
2009-02-09,0.003639,0.001391
2009-02-10,-0.046526,-0.045809
2009-02-11,-0.011407,0.005896
2009-02-12,0.001709,0.000718
2009-02-13,0.002346,-0.010758
2009-02-17,-0.069164,-0.042774
2009-02-18,-0.005716,-0.002398
2009-02-19,0.00023,-0.010743
2009-02-20,-0.025747,-0.009734
2009-02-23,-0.04672,-0.035779
2009-02-24,0.04703,0.03791
2009-02-25,-0.00591,-0.007847
2009-02-26,0.002378,-0.016287
2009-02-27,-0.024105,-0.022349
2009-03-02,-0.073273,-0.045043
2009-03-03,0.004984,-0.007507
2009-03-04,0.047768,0.023691
2009-03-05,-0.044096,-0.040848
2009-03-06,0.010946,0.001744
2009-03-09,0.001805,-0.011753
2009-03-10,0.050695,0.059609
2009-03-11,-0.004164,0.006512
2009-03-12,0.030005,0.039372
2009-03-13,-0.009074,0.007815
2009-03-16,0.012771,-0.003023
2009-03-17,0.034499,0.030583
2009-03-18,0.01012,0.022384
2009-03-19,0.024135,-0.012386
2009-03-20,-0.038911,-0.021137
2009-03-23,0.082326,0.071829
2009-03-24,-0.018909,-0.019703
2009-03-25,-0.004818,0.010546
2009-03-26,0.008583,0.020381
2009-03-27,-0.029675,-0.018048
2009-03-30,-0.037014,-0.034555
2009-03-31,-0.0085,0.009265
2009-04-01,0.021197,0.019366
2009-04-02,0.041052,0.029238
2009-04-03,0.019495,0.009948
2009-04-06,-0.020209,-0.007833
2009-04-07,-0.02994,-0.023325
2009-04-08,0.012803,0.010778
2009-04-09,0.029345,0.039743
2009-04-13,-0.010965,0.000233
2009-04-14,-0.002661,-0.017243
2009-04-15,0.001334,0.01067
2009-04-16,0.004663,0.014663
2009-04-17,0.011713,0.006705
2009-04-20,-0.048493,-0.041916
2009-04-21,0.019743,0.019537
2009-04-22,-0.010581,-0.006113
2009-04-23,0.018658,0.009818
2009-04-24,0.029037,0.015111
2009-04-27,-0.018884,-0.009462
2009-04-28,0.002212,-0.003145
2009-04-29,0.027594,0.021269
2009-04-30,-0.016541,0.000343
2009-05-01,0.032329,0.005376
2009-05-04,0.039992,0.03402
2009-05-05,-0.013428,-0.003411
2009-05-06,0.038771,0.017346
2009-05-07,-0.012905,-0.013903
2009-05-08,0.042639,0.023333
2009-05-11,-0.030478,-0.018714
2009-05-12,0.006407,-0.002959
2009-05-13,-0.033055,-0.025173
2009-05-14,0.002862,0.00857
2009-05-15,-0.021407,-0.008162
2009-05-18,0.034583,0.028407
2009-05-19,0.004833,-0.001206
2009-05-20,0.003407,-0.006694
2009-05-21,-0.029559,-0.014363
2009-05-22,0.000412,-0.00213
2009-05-26,0.021189,0.025612
2009-05-27,-0.010878,-0.017853
2009-05-28,0.033198,0.01394
2009-05-29,0.018727,0.017708
2009-06-01,0.036765,0.024208
2009-06-02,-0.002688,0.000844
2009-06-03,-0.038476,-0.012652
2009-06-04,0.022577,0.009397
2009-06-05,-0.008184,0.000212
2009-06-08,-0.002303,-0.004125
2009-06-09,0.00981,0.005098
2009-06-10,0.008952,-0.002536
2009-06-11,0.020011,0.004449
2009-06-12,-0.009624,0.002742
2009-06-15,-0.026537,-0.022928
2009-06-16,-0.021309,-0.013563
2009-06-17,-0.016281,-0.000982
2009-06-18,-0.003789,0.007307
2009-06-19,-0.009936,0.003678
2009-06-22,-0.04999,-0.029987
2009-06-23,0.005989,0.000784
2009-06-24,0.00404,0.008595
2009-06-25,0.020966,0.021772
2009-06-26,-0.006638,-0.002606
2009-06-29,0.009397,0.009364
2009-06-30,-0.005999,-0.008091
2009-07-01,0.000832,0.004133
2009-07-02,-0.040133,-0.027293
2009-07-06,-0.010182,-0.000111
2009-07-07,-0.025607,-0.019377
2009-07-08,0.000225,-0.000681
2009-07-09,0.01033,0.001932
2009-07-10,-0.007113,-0.002382
2009-07-13,0.015223,0.024352
2009-07-14,0.013451,0.005638
2009-07-15,0.035466,0.029246
2009-07-16,0.012187,0.009543
2009-07-17,0.005813,-0.000212
2009-07-20,0.017131,0.010634
2009-07-21,0.008726,0.004615
2009-07-22,-0.009053,-0.000209
2009-07-23,0.028421,0.022093
2009-07-24,0.010462,0.004086
2009-07-27,0.003321,0.002957
2009-07-28,-0.014603,-0.004677
2009-07-29,-0.023118,-0.002431
2009-07-30,0.013956,0.010425
2009-07-31,0.009775,0.001419
2009-08-03,0.025682,0.016496
2009-08-04,-0.001733,0.002589
2009-08-05,-0.010033,-0.00288
2009-08-06,-0.008186,-0.005179
2009-08-07,-0.001179,0.013135
2009-08-10,0.004328,-0.002095
2009-08-11,-0.014496,-0.012476
2009-08-12,0.010733,0.010729
2009-08-13,0.012193,0.007639
2009-08-14,-0.014766,-0.007679
2009-08-17,-0.032341,-0.024606
2009-08-18,0.009986,0.007934
2009-08-19,0.018563,0.00878
2009-08-20,0.008518,0.010304
2009-08-21,0.028285,0.019606
2009-08-24,0.012799,-9.7e-05
2009-08-25,-0.015277,0.001943
2009-08-26,0.004597,9.7e-05
2009-08-27,-0.003051,0.002229
2009-08-28,-0.002104,-0.000193
2009-08-31,-0.019356,-0.008899
2009-09-01,-0.017393,-0.022057
2009-09-02,-0.007359,-0.003792
2009-09-03,0.007013,0.008315
2009-09-04,0.013928,0.014009
2009-09-08,0.027473,0.008622
2009-09-09,0.002292,0.007674
2009-09-10,0.01734,0.010219
2009-09-11,0.003933,-0.000191
2009-09-14,0.007463,0.004868
2009-09-15,0.01,0.004179
2009-09-16,0.024752,0.015134
2009-09-17,-0.004831,-0.001491
2009-09-18,-0.003483,0.000638
2009-09-21,-0.008518,-0.00253
2009-09-22,0.015719,0.005824
2009-09-23,-0.020875,-0.008312
2009-09-24,-0.014336,-0.011019
2009-09-25,-0.001305,-0.005333
2009-09-28,0.016057,0.017903
2009-09-29,-0.002756,-0.00301
2009-09-30,-0.006449,-0.003868
2009-10-01,-0.031157,-0.024529
2009-10-02,-0.005168,-0.004951
2009-10-05,0.022128,0.014928
2009-10-06,0.02372,0.014324
2009-10-07,0.007723,0.002749
2009-10-08,0.02573,0.007656
2009-10-09,-0.00089,0.006097
2009-10-12,0.013533,0.003916
2009-10-13,0.001581,-0.002043
2009-10-14,0.016664,0.017216
2009-10-15,0.020877,0.003659
2009-10-16,-0.003042,-0.007474
2009-10-19,0.013053,0.008265
2009-10-20,-0.006359,-0.005274
2009-10-21,-0.002695,-0.008983
2009-10-22,0.003884,0.010164
2009-10-23,-0.019344,-0.011433
2009-10-26,-0.016467,-0.010825
2009-10-27,0.008894,-0.004583
2009-10-28,-0.033016,-0.018887
2009-10-29,0.026636,0.021454
2009-10-30,-0.037959,-0.028973
2009-11-02,0.006335,0.007339
2009-11-03,0.01295,0.003163
2009-11-04,-0.000888,0.00258
2009-11-05,0.017061,0.018396
2009-11-06,-0.002621,0.00262
2009-11-09,0.019096,0.022776
2009-11-10,0.000688,0.000183
2009-11-11,-0.000344,0.00511
2009-11-12,-0.021997,-0.010168
2009-11-13,0.006326,0.005411
2009-11-16,0.026192,0.014505
2009-11-17,-0.001702,0.00116
2009-11-18,-0.00392,-0.00062
