date,ICLN,PBW,QCLN,IXC,VDE,XLE
2015-02-27,0.095729,0.115854,0.109036,0.050594,0.049058,0.04593
2015-03-31,0.084978,0.018384,0.009098,-0.040355,-0.019119,-0.011707
2015-04-30,0.053235,0.030466,0.01779,0.091393,0.070553,0.065739
2015-05-29,-0.027222,-0.019131,0.038136,-0.052402,-0.050774,-0.051887
2015-06-30,-0.071937,-0.033174,-0.056944,-0.037496,-0.03692,-0.034713
2015-07-31,-0.055755,-0.094096,-0.0758,-0.062893,-0.085367,-0.076903
2015-08-31,-0.100952,-0.105906,-0.110199,-0.057047,-0.040994,-0.042519
2015-09-30,-0.040254,-0.060904,-0.074098,-0.071821,-0.075632,-0.071532
2015-10-30,0.081678,0.087805,0.066286,0.108052,0.114913,0.111601
2015-11-30,-0.038776,-0.040359,-0.009666,-0.012583,-0.00254,-0.000147
2015-12-31,0.052681,0.108867,0.085876,-0.09014,-0.110938,-0.10523
2016-01-29,-0.115854,-0.147679,-0.105913,-0.027471,-0.037741,-0.03498
2016-02-29,-0.033333,0.005743,-0.007324,-0.007337,-0.022167,-0.028002
2016-03-31,0.110571,0.002626,0.042541,0.09054,0.105933,0.101845
2016-04-29,-0.014979,0.014852,0.006077,0.091494,0.102773,0.090645
2016-05-31,-0.052174,-0.05122,-0.012081,-0.027631,-0.017012,-0.009333
2016-06-30,0.025014,-0.009046,-0.025713,0.048082,0.028314,0.027014
2016-07-29,0.036765,0.028796,0.081526,-0.020427,-0.019239,-0.012603
2016-08-31,0.00989,-0.025216,-0.030689,0.008215,0.018973,0.016771
2016-09-30,-0.003264,0.015983,0.015607,0.030085,0.034105,0.036645
2016-10-31,-0.032347,-0.052636,-0.040698,-0.015516,-0.037056,-0.028183
2016-11-30,-0.093279,-0.001446,0.046021,0.056276,0.097587,0.084669
2016-12-30,-0.001478,0.007329,0.016268,0.032171,0.019496,0.017364
2017-01-31,0.046954,0.021739,0.027765,-0.026149,-0.034677,-0.03213
2017-02-28,0.043636,0.053192,0.0522,-0.023016,-0.026522,-0.020851
2017-03-31,-0.005807,0.013482,0.006527,0.002718,-0.010918,-0.014864
2017-04-28,-0.009346,0.04,0.002983,-0.021386,-0.03495,-0.029471
2017-05-31,0.024764,-0.004808,0.038073,-0.015082,-0.040501,-0.035377
2017-06-30,0.001478,0.055447,0.038143,-0.013586,-0.00517,-0.001083
2017-07-31,0.054907,0.046083,0.048093,0.035438,0.025763,0.026186
2017-08-31,0.011074,-0.030837,-0.011071,-0.029247,-0.055739,-0.054788
2017-09-29,-0.016429,0.071891,0.026544,0.089423,0.104503,0.101245
2017-10-31,0.036192,0.046809,0.060727,0.002942,-0.010686,-0.008324
2017-11-30,-0.042085,0.013008,-0.001961,0.013494,0.020631,0.017523
2017-12-29,0.055626,0.018781,-0.001444,0.045139,0.053548,0.052364
2018-01-31,0.026824,-0.020505,0.022168,0.034881,0.031531,0.035843
2018-02-28,-0.021944,-0.016908,-0.043374,-0.091873,-0.107377,-0.10835
2018-03-29,0.017094,0.025657,-0.016131,0.017061,0.020328,0.017153
2018-04-30,0.034664,-0.014752,-0.018443,0.090053,0.096893,0.094941
2018-05-31,-0.014213,0.065722,0.05167,0.011879,0.035926,0.029942
2018-06-29,-0.088161,-0.042914,-0.02995,0.010382,0.007296,0.005688
2018-07-31,0.043528,0.011222,0.024115,0.014179,0.010849,0.015539
2018-08-31,-0.04281,0.024178,0.027054,-0.034819,-0.029561,-0.034751
2018-09-28,-0.013762,-0.035956,-0.037468,0.030883,0.026254,0.024357
2018-10-31,-0.056977,-0.064113,-0.050254,-0.093849,-0.121111,-0.113282
2018-11-30,0.108508,0.051271,0.04543,-0.028379,-0.028361,-0.015634
2018-12-31,-0.069501,-0.119019,-0.094934,-0.099976,-0.133478,-0.124489
2019-01-31,0.14891,0.193268,0.102974,0.105962,0.117105,0.112119
2019-02-28,0.022129,0.1021,0.076956,0.027418,0.021709,0.023048
2019-03-29,0.006186,-0.047636,-0.038022,0.010495,0.023148,0.021205
2019-04-30,0.040984,0.055991,0.04342,0.001187,-0.001902,-0.000151
2019-05-31,-0.016732,-0.050901,-0.102675,-0.080913,-0.117027,-0.111027
2019-06-28,0.072886,0.112372,0.123567,0.068899,0.088065,0.093865
2019-07-31,0.008459,0.024571,0.053055,-0.031722,-0.024112,-0.015853
2019-08-30,0.013048,-0.037218,-0.044085,-0.071883,-0.08714,-0.083254
2019-09-30,0.00276,0.000918,0.012899,0.047293,0.038995,0.039674
2019-10-31,-0.022018,-0.005142,0.021742,-0.010471,-0.026275,-0.020946
2019-11-29,0.032364,0.073398,0.048662,0.01455,0.010794,0.016046
2019-12-31,0.07512,0.104487,0.086273,0.053187,0.071046,0.06002
2020-01-31,0.031489,0.05054,0.059261,-0.094389,-0.118051,-0.109927
2020-02-28,0.036304,0.046162,-0.006258,-0.131447,-0.149437,-0.152882
2020-03-31,-0.23965,-0.284208,-0.232679,-0.303505,-0.363782,-0.345576
2020-04-30,0.126702,0.19172,0.220948,0.162818,0.322083,0.307639
2020-05-29,0.107807,0.090454,0.098856,0.022913,0.016624,0.02
2020-06-30,0.05476,0.16748,0.107078,-0.007898,-0.008334,-0.010551
2020-07-31,0.15016,0.145213,0.174352,-0.036848,-0.041948,-0.048085
2020-08-31,0.190278,0.220503,0.24133,0.010096,-0.006225,-0.010547
2020-09-30,0.078763,0.070475,0.024424,-0.137296,-0.146745,-0.14464
2020-10-30,0.057869,0.04179,0.06832,-0.05122,-0.034731,-0.041069
2020-11-30,0.202965,0.451042,0.337906,0.289203,0.280391,0.279944
2020-12-31,0.202042,0.1283,0.10902,0.042162,0.053049,0.045162
2021-01-29,0.055241,0.155721,0.137263,0.028557,0.049557,0.037467
2021-02-26,-0.13255,-0.095657,-0.084638,0.153662,0.224509,0.224568
2021-03-31,-0.059961,-0.088166,-0.061688,0.022822,0.030573,0.029698
2021-04-30,-0.043621,-0.106718,-0.054665,0.00284,0.004265,0.006726
2021-05-28,-0.013769,-0.054614,-0.036392,0.057848,0.065456,0.057097
2021-06-30,0.02898,0.124632,0.107648,0.033165,0.052064,0.041952
2021-07-30,-0.031969,-0.102157,-0.0354,-0.06619,-0.086968,-0.083163
2021-08-31,0.027301,-0.022708,0.003445,-0.008055,-0.018473,-0.020045
2021-09-30,-0.07201,-0.05207,-0.065532,0.090134,0.100179,0.088469
2021-10-29,0.167206,0.149404,0.236582,0.081937,0.099053,0.103283
2021-11-30,-0.070439,-0.038184,-0.003876,-0.063683,-0.057498,-0.050113
2021-12-31,-0.093376,-0.157128,-0.118532,0.035959,0.026118,0.029401
2022-01-31,-0.114313,-0.209185,-0.159776,0.164667,0.174849,0.187748
2022-02-28,0.104533,0.050992,0.045701,0.048689,0.075016,0.070692
2022-03-31,0.039112,0.101816,0.08205,0.075893,0.10039,0.092944
2022-04-29,-0.124535,-0.217838,-0.191891,-0.018534,-0.016723,-0.016876
2022-05-31,0.055202,0.049068,0.067982,0.139515,0.151924,0.160346
2022-06-30,-0.034691,-0.138889,-0.063809,-0.143192,-0.171246,-0.170584
2022-07-29,0.170079,0.223583,0.194061,0.069953,0.105559,0.09663
2022-08-31,-0.004935,0.028071,0.028397,0.017931,0.032009,0.026524
2022-09-30,-0.139315,-0.155004,-0.110335,-0.096748,-0.094048,-0.094829
2022-10-31,-0.010477,-0.042549,-0.010532,0.20192,0.240205,0.249653
2022-11-30,0.120169,0.022545,0.04435,0.0332,0.013097,0.012778
2022-12-30,-0.060191,-0.174133,-0.196951,-0.0315,-0.039089,-0.030942
2023-01-31,0.044836,0.201409,0.186056,0.031547,0.029683,0.028124
2023-02-28,-0.074253,-0.067752,-0.039486,-0.049478,-0.066304,-0.069387
2023-03-31,0.030208,-0.048176,-0.027489,-0.012294,-0.011665,-0.000773
2023-04-28,-0.054095,-0.123237,-0.139192,0.041314,0.023724,0.027768
2023-05-31,-0.019776,0.032741,0.067616,-0.097152,-0.094664,-0.100317
2023-06-30,0.010067,0.103545,0.069154,0.068532,0.075574,0.069015
2023-07-31,-0.006522,0.086241,0.066654,0.062332,0.082913,0.077738
2023-08-31,-0.12035,-0.16659,-0.128825,0.017451,0.019468,0.016461
2023-09-29,-0.090796,-0.129347,-0.102732,0.025603,0.023879,0.024107
2023-10-31,-0.110123,-0.205218,-0.212526,-0.041687,-0.053653,-0.057529
2023-11-30,0.092237,0.061249,0.090259,0.005311,-0.011839,-0.00716
2023-12-29,0.104346,0.128316,0.154426,-9.5e-05,-0.001519,0.000735
2024-01-31,-0.113038,-0.203903,-0.176903,-0.008438,-0.007844,-0.005129
2024-02-29,0.007241,0.004227,0.012677,0.017277,0.03197,0.03273
2024-03-28,0.005032,-0.023625,-0.013371,0.08872,0.104729,0.104527
2024-04-30,-0.053648,-0.115835,-0.067474,0.004191,-0.010175,-0.009427
2024-05-31,0.131519,0.128067,0.168213,0.008579,0.001534,-0.003422
2024-06-28,-0.103816,-0.117415,-0.095098,-0.025111,-0.015637,-0.014326
2024-07-31,0.062312,0.069975,0.076742,0.015177,0.0243,0.0226
2024-08-30,0.009894,-0.102505,-0.036865,-0.004509,-0.024795,-0.020706
2024-09-30,0.027992,0.038776,0.02036,-0.035042,-0.030666,-0.030155
2024-10-31,-0.108237,0.000998,-0.076859,-0.000741,0.009553,0.008998
2024-11-29,-0.054199,0.079302,0.073002,0.044005,0.085247,0.078338
2024-12-31,-0.072302,-0.065695,-0.044985,-0.075899,-0.088717,-0.095991
